N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,000",300,-0.38%,100,"4,656,430","5,969,783",52.11,"9,633,555",15.12,9.99,
2,SK하이닉스,"124,500","2,500",-1.97%,"5,000","906,363","728,002",49.35,"3,352,567",11.26,9.53,
3,삼성전자우,"70,900",500,-0.70%,100,"583,427","822,887",74.62,"570,420",13.74,N/A,
4,삼성바이오로직스,"836,000","8,000",-0.95%,"2,500","553,139","66,165",10.89,"48,544",134.75,N/A,
5,NAVER,"335,000","3,000",-0.89%,100,"549,564","164,049",55.71,"813,549",3.32,15.22,
6,LG화학,"710,000","9,000",-1.25%,"5,000","501,206","70,592",47.92,"509,271",18.50,2.93,
7,현대차,"209,500","5,500",-2.56%,"5,000","447,635","213,668",28.42,"739,597",10.62,2.04,
8,카카오,"96,600","3,400",-3.40%,100,"430,745","445,906",29.88,"5,347,993",38.03,2.70,
9,삼성SDI,"624,000","12,000",-1.89%,"5,000","429,091","68,765",45.35,"260,167",39.14,4.54,
10,기아,"83,800","2,900",-3.34%,"5,000","339,694","405,363",35.50,"1,811,090",7.59,5.05,
11,POSCO,"304,000","1,000",-0.33%,"5,000","265,048","87,187",52.61,"302,225",4.55,3.61,
12,셀트리온,"187,000","4,500",+2.47%,"1,000","257,961","137,947",20.00,"865,634",47.58,16.68,
13,현대모비스,"262,000","7,500",-2.78%,"5,000","247,782","94,573",34.35,"308,985",10.55,4.66,
14,카카오뱅크,"51,100","3,900",-7.09%,"5,000","242,806","475,159",16.88,"4,135,305",165.37,5.08,
15,KB금융,"57,800","2,100",+3.77%,"5,000","240,337","415,808",69.69,"1,925,512",5.53,8.53,
16,SK이노베이션,"246,000","1,000",-0.40%,"5,000","227,465","92,466",23.68,"269,209","-7,235.29",-13.58,
17,삼성물산,"115,000","1,500",-1.29%,100,"214,920","186,887",15.39,"192,748",13.08,3.81,
18,LG전자,"130,000","7,500",-5.45%,"5,000","212,742","163,648",28.97,"1,771,276",18.76,13.23,
19,신한지주,"38,550",900,+2.39%,"5,000","199,149","516,600",60.60,"2,609,895",5.12,8.20,
20,카카오페이,"148,500","5,000",-3.26%,500,"195,846","131,883",42.91,"321,378",-738.81,-17.97,
21,크래프톤,"381,500","13,000",-3.30%,100,"186,809","48,967",30.12,"436,725",29.90,61.86,
22,SK,"244,000","1,500",-0.61%,200,"180,924","74,149",21.70,"140,664",28.51,1.11,
23,SK바이오사이언스,"213,000",0,0.00%,500,"162,945","76,500",5.71,"452,164",82.02,13.25,
24,LG생활건강,"956,000","148,000",-13.41%,"5,000","149,310","15,618",43.01,"344,805",19.89,17.92,
25,한국전력,"21,500",150,-0.69%,"5,000","138,022","641,964",14.55,"794,765",-12.67,2.91,
26,하나금융지주,"45,400","1,950",+4.49%,"5,000","136,310","300,242",67.97,"2,731,294",4.24,8.96,
27,삼성전기,"181,000","6,500",-3.47%,"5,000","135,196","74,694",30.90,"546,914",13.91,10.92,
28,삼성생명,"67,400","1,600",+2.43%,500,"134,800","200,000",12.44,"415,901",8.62,3.53,
29,엔씨소프트,"614,000","8,000",+1.32%,500,"134,798","21,954",44.11,"100,043",37.91,20.83,
30,HMM,"26,200",200,-0.76%,"5,000","128,128","489,039",10.65,"1,456,597",3.30,8.93,
31,LG,"80,800",800,-0.98%,"5,000","127,099","157,301",36.11,"220,809",5.33,7.50,
32,SK텔레콤,"56,500",100,+0.18%,100,"123,641","218,833",44.77,"703,575",8.77,6.44,
33,하이브,"295,500","7,000",-2.31%,500,"122,199","41,353",16.60,"274,328",105.12,12.52,
34,삼성에스디에스,"152,000","1,000",-0.65%,500,"117,614","77,378",11.25,"51,039",17.31,6.71,
35,S-Oil,"96,900",400,-0.41%,"2,500","109,093","112,583",78.03,"408,790",9.33,-13.07,
36,KT&G,"78,500",100,+0.13%,"5,000","107,775","137,292",35.44,"280,213",9.05,13.22,
37,두산중공업,"20,550",300,+1.48%,"5,000","107,083","521,084",8.64,"4,455,284",60.98,-37.20,
38,삼성화재,"222,500","8,000",+3.73%,500,"105,409","47,375",48.36,"173,589",9.62,4.96,
39,SK아이이테크놀로지,"147,000","6,500",-4.23%,"1,000","104,807","71,298",11.41,"429,547",96.65,11.00,
40,우리금융지주,"13,950",850,+6.49%,"5,000","101,564","728,061",30.15,"7,942,399",4.27,5.87,
41,포스코케미칼,"130,500","3,000",-2.25%,500,"101,090","77,463",6.31,"299,336",72.86,2.96,
42,현대중공업,"111,500",500,-0.45%,"5,000","98,982","88,773",2.04,"430,967",-12.17,-7.86,
43,대한항공,"28,100",500,-1.75%,"5,000","97,738","347,821",11.76,"1,464,220",13.20,-7.22,
44,고려아연,"514,000",0,0.00%,"5,000","96,992","18,870",18.38,"26,015",12.85,8.37,
45,넷마블,"111,500","1,500",-1.33%,100,"95,838","85,954",22.73,"206,392",41.24,6.35,
46,아모레퍼시픽,"152,000","8,500",-5.30%,500,"88,909","58,493",30.21,"896,650",58.62,0.78,
47,LG디스플레이,"23,800",350,-1.45%,"5,000","85,160","357,816",18.36,"3,141,362",5.39,-0.79,
48,SK스퀘어,"57,500","3,500",-5.74%,100,"81,344","141,468",38.15,"2,241,222",N/A,N/A,
49,KT,"30,800",550,+1.82%,"5,000","80,422","261,112",43.55,"686,156",7.87,4.76,
50,기업은행,"10,650",300,+2.90%,"5,000","79,268","744,301",12.85,"2,509,527",3.94,6.44,
51,롯데케미칼,"230,000","2,000",-0.86%,"5,000","78,833","34,275",25.02,"165,202",5.79,1.22,
52,LG이노텍,"331,000","6,000",-1.78%,"5,000","78,338","23,667",26.30,"382,396",10.49,10.20,
53,한화솔루션,"38,250","1,650",+4.51%,"5,000","73,164","191,278",18.18,"3,073,980",9.78,5.30,
54,한국조선해양,"102,500","2,000",+1.99%,"5,000","72,542","70,773",20.27,"301,033",-5.62,-7.42,
55,SK바이오팜,"92,200","2,300",-2.43%,500,"72,205","78,313",5.98,"183,644",-178.68,-135.18,
56,현대글로비스,"181,500","2,500",-1.36%,500,"68,062","37,500",42.69,"150,175",9.79,12.45,
57,한온시스템,"12,750",500,-3.77%,100,"68,060","533,800",17.71,"1,366,796",23.27,5.09,
58,F&F,"866,000","42,000",-4.63%,500,"66,348","7,661",14.57,"49,274",N/A,N/A,
59,메리츠금융지주,"48,250","1,050",-2.13%,500,"64,660","134,011",8.84,"505,117",9.09,16.06,
60,SKC,"160,000","2,000",-1.23%,"5,000","60,589","37,868",16.72,"156,882",32.59,2.21,
61,현대제철,"44,800",100,-0.22%,"5,000","59,784","133,446",20.26,"595,104",6.86,-2.59,
62,LG유플러스,"13,650",100,+0.74%,"5,000","59,597","436,611",35.36,"910,044",15.18,6.46,
63,CJ제일제당,"385,000","4,500",+1.18%,"5,000","57,959","15,054",22.46,"36,472",13.13,13.50,
64,에스디바이오센서,"55,700","1,300",-2.28%,500,"57,522","103,271",7.22,"439,904",8.44,139.97,
65,KODEX 200,"39,165",300,-0.76%,0,"56,261","143,650",9.21,"2,758,698",N/A,N/A,
66,맥쿼리인프라,"13,800",50,-0.36%,0,"55,869","404,846",13.59,"763,855",N/A,N/A,
67,코웨이,"74,500","1,100",+1.50%,500,"54,981","73,800",60.42,"138,265",12.34,31.51,
68,미래에셋증권,"8,370",100,-1.18%,"5,000","53,176","635,316",12.63,"741,984",5.73,8.94,
69,금호석유,"175,000","3,000",+1.74%,"5,000","53,018","30,296",18.71,"215,230",3.13,20.18,
70,강원랜드,"24,450",100,-0.41%,500,"52,308","213,940",18.82,"357,826",-158.77,-7.92,
71,삼성중공업,"5,900",20,+0.34%,"1,000","51,920","880,000",14.47,"3,097,959",-2.40,-33.06,
72,일진머티리얼즈,"111,500","6,000",-5.11%,500,"51,414","46,111",12.74,"388,519",80.91,7.23,
73,메리츠화재,"42,550","2,550",+6.38%,500,"51,326","120,625",10.63,"1,153,238",8.83,16.91,
74,현대건설,"45,900",950,-2.03%,"5,000","51,112","111,356",22.04,"787,241",30.52,1.84,
75,한국타이어앤테크놀로지,"39,750",450,-1.12%,500,"49,240","123,875",41.42,"140,582",7.45,5.12,
76,삼성엔지니어링,"24,350",250,-1.02%,"5,000","47,726","196,000",36.06,"1,540,676",13.48,17.32,
77,DB손해보험,"64,400","3,800",+6.27%,500,"45,595","70,800",42.92,"385,379",5.72,9.08,
78,한국금융지주,"80,600","1,800",+2.28%,"5,000","44,915","55,726",34.32,"207,976",2.76,16.27,
79,현대중공업지주,"55,100",400,-0.72%,"1,000","43,525","78,993",16.51,"97,828",-12.77,-8.12,
80,두산밥캣,"42,600",150,-0.35%,500,"42,706","100,249",25.15,"186,980",11.66,6.15,
81,유한양행,"60,500",300,-0.49%,"1,000","42,334","69,973",17.12,"107,429",45.87,11.06,
82,오리온,"107,000","1,000",+0.94%,500,"42,304","39,536",37.41,"128,456",17.79,15.50,
83,이마트,"149,000",500,+0.34%,"5,000","41,535","27,876",33.42,"79,846",3.00,4.05,
84,쌍용C&E,"8,010",90,-1.11%,100,"40,359","503,860",3.37,"756,143",19.58,7.92,
85,한진칼,"58,200",200,-0.34%,"2,500","38,842","66,739",14.49,"45,884",-66.29,-19.55,
86,메리츠증권,"5,620",240,+4.46%,"1,000","38,313","681,731",13.14,"3,298,904",5.71,13.08,
87,삼성증권,"42,650",350,-0.81%,"5,000","38,086","89,300",29.15,"295,080",4.01,9.89,
88,GS건설,"44,350",0,0.00%,"5,000","37,955","85,581",25.50,"657,269",10.80,7.68,
89,현대오토에버,"135,000","4,500",-3.23%,500,"37,022","27,424",2.18,"130,954",49.00,11.09,
90,GS,"39,800",100,+0.25%,"5,000","36,980","92,915",18.70,"136,603",3.61,-2.82,
91,현대차2우B,"100,500",500,-0.50%,"5,000","36,668","36,485",61.77,"51,725",5.09,N/A,
92,삼성카드,"31,550",0,0.00%,"5,000","36,553","115,859",7.08,"100,159",7.78,5.69,
93,NH투자증권,"11,950",0,0.00%,"5,000","35,496","297,034",17.41,"677,640",4.39,10.32,
94,아모레G,"42,600",900,-2.07%,500,"35,127","82,458",15.92,"126,422",23.92,0.31,
95,DB하이텍,"78,000",100,+0.13%,"5,000","34,631","44,399",25.16,"946,490",16.29,23.07,
96,한국가스공사,"37,150",350,-0.93%,"5,000","34,294","92,313",10.50,"117,180",7.72,-2.24,
97,한미사이언스,"50,000",900,-1.77%,500,"33,652","67,305",1.17,"127,182",63.37,3.47,
98,한국항공우주,"33,800",0,0.00%,"5,000","32,947","97,475",13.13,"941,881",229.93,6.39,
99,KCC,"368,500","10,500",-2.77%,"5,000","32,747","8,886",12.09,"89,985",4.65,12.79,
100,현대미포조선,"81,700",700,-0.85%,"5,000","32,633","39,942",11.29,"366,205",-21.23,-0.84,
101,한화시스템,"17,050",200,+1.19%,"5,000","32,211","188,919",2.15,"1,215,773",20.67,9.35,
102,한미약품,"262,500","1,500",-0.57%,"2,500","31,705","12,078",13.32,"19,259",41.81,1.65,
103,TIGER 차이나전기차SOLACTIVE,"16,210",290,-1.76%,0,"31,246","192,760",0.07,"4,258,036",N/A,N/A,
104,팬오션,"5,800",160,+2.84%,"1,000","31,005","534,570",11.61,"4,486,070",9.97,3.25,
105,한솔케미칼,"273,000","8,000",-2.85%,"5,000","30,945","11,335",42.70,"54,068",21.30,24.50,
